"id","severity","domain","component","title","file","github","location","suggested_title"
"CONFIG-001","High","CONFIGURATION","cicd-pipeline","CI/CD security gate disabled — Trivy exit-code set to 0 on all scan steps","yes","pending",".github/workflows/ci-restitution.yml:161-169","[RA CONFIG-001] CI/CD security gate disabled — Trivy exit-code set to 0 on all scan steps"
"DEP-001","High","DEPENDENCIES","health-checks","Microsoft.AspNetCore.HealthChecks 1.0.0 is an archived community package (no updates since ~2017)","yes","pending","restitution-app/restitution-app.csproj:14","[RA DEP-001] Microsoft.AspNetCore.HealthChecks 1.0.0 is an archived community package (..."
"F-TEST-003","High","TESTING","aspnet-api","ASP.NET Core API has zero automated tests","yes","pending","restitution-app/Controllers/RestitutionsController.cs:1-13","[RA F-TEST-003] ASP.NET Core API has zero automated tests"
"F-TEST-004","High","TESTING","dataverse-client","Dataverse Client Library has zero automated tests","yes","pending","Database/Extensions/EntraIdTokenProvider.cs:1-10","[RA F-TEST-004] Dataverse Client Library has zero automated tests"
"F-TEST-007","High","TESTING","angular-spa","No security-focused tests exist in any component","yes","pending","restitution-app/ClientApp/e2e/tests/victim.spec.ts:1-13","[RA F-TEST-007] No security-focused tests exist in any component"
"AUTH-001","Medium","AUTHENTICATION","dataverse-client","ADFS Token Provider Uses Deprecated Resource Owner Password Credentials (ROPC) Grant","yes","pending","Database/Extensions/ADFSTokenProvider.cs:35-58","[RA AUTH-001] ADFS Token Provider Uses Deprecated Resource Owner Password Credentials (..."
"CONFIG-002","Medium","CONFIGURATION","aspnet-api","CSP header includes unsafe-eval and unsafe-inline in script-src without environment guard","yes","pending","restitution-app/Program.cs:223-233","[RA CONFIG-002] CSP header includes unsafe-eval and unsafe-inline in script-src without..."
"CONFIG-003","Medium","CONFIGURATION","aspnet-api","Developer Exception Page active in all non-production environments","yes","pending","restitution-app/Program.cs:131-138","[RA CONFIG-003] Developer Exception Page active in all non-production environments"
"CRYPTO-001","Medium","CRYPTOGRAPHY","aspnet-api","Data Protection Key Ring Persisted Without At-Rest Encryption","yes","pending","restitution-app/Program.cs:83-86","[RA CRYPTO-001] Data Protection Key Ring Persisted Without At-Rest Encryption"
"DEP-002","Medium","DEPENDENCIES","aspnet-api","EOL Microsoft.NETCore.App 2.2.8 / Microsoft.NETCore.Jit 2.0.8 in a net10.0 project","yes","pending","restitution-app/restitution-app.csproj:15-16","[RA DEP-002] EOL Microsoft.NETCore.App 2.2.8 / Microsoft.NETCore.Jit 2.0.8 in a net10.0..."
"DEP-003","Medium","DEPENDENCIES","aspnet-api","No NuGet lock files; unpinned transitive dependencies (supply-chain risk)","yes","pending","restitution-app/restitution-app.csproj:1","[RA DEP-003] No NuGet lock files; unpinned transitive dependencies (supply-chain risk)"
"DEP-006","Medium","DEPENDENCIES","cicd-pipeline","OpenShift Dockerfile uses .NET 8 base image while app targets net10.0; no digest pinning","yes","pending","openshift/Dockerfile.ubi8.net8_customized:1-5","[RA DEP-006] OpenShift Dockerfile uses .NET 8 base image while app targets net10.0; no ..."
